20,76.5
21,76.5
22,76.5
24,76.5
25,76.5
27,76.5
28,76.5
30,76.5
32,76.5
34,76.5
36,76.33
38,76.01
40,75.68
42,75.36
45,75.03
48,74.7
50,74.38
53,74.05
57,73.73
60,73.4
63,73.07
67,72.75
71,72.42
76,72.1
80,71.77
85,71.45
90,71.12
95,70.79
101,70.47
107,70.14
113,69.77
120,69.36
127,68.95
135,68.54
143,68.13
151,67.72
160,67.32
170,66.91
180,66.5
190,66.09
202,65.68
214,65.27
226,64.86
240,64.45
254,64.05
269,63.64
285,63.23
302,62.82
320,62.52
339,62.63
359,62.74
381,62.85
403,62.95
427,63.06
453,63.17
479,63.28
508,63.38
538,63.49
570,63.6
604,63.71
640,63.81
678,63.92
718,64.06
761,64.29
806,64.51
854,64.74
905,64.96
959,65.19
1016,65.42
1076,65.64
1140,65.87
1208,66.09
1280,66.32
1356,66.54
1437,66.77
1522,67.0
1613,67.22
1709,67.45
1810,67.84
1918,68.3
2032,68.75
2153,69.2
2281,69.65
2416,70.1
2560,70.55
2712,71.0
2874,71.46
3044,71.91
3225,72.36
3417,72.81
3620,73.26
3836,73.71
4064,74.16
4305,74.42
4561,74.08
4833,73.74
5120,73.41
5424,73.07
5747,72.74
6089,72.4
6451,72.06
6834,71.73
7241,71.39
7671,71.06
8127,70.12
8611,69.07
9123,68.01
9665,66.95
10240,65.9
10849,64.84
11494,63.79
12177,62.73
12902,61.68
13669,60.62
14482,60.0
15343,60.0
16255,60.0
17222,60.0
18246,60.0
19331,60.0
