20,68.0
21,68.0
22,68.0
24,68.0
25,68.0
27,68.0
28,68.0
30,68.0
32,68.0
34,68.0
36,67.92
38,67.77
40,67.62
42,67.47
45,67.32
48,67.17
50,67.02
53,66.87
57,66.72
60,66.57
63,66.42
67,66.27
71,66.12
76,65.97
80,65.82
85,65.67
90,65.52
95,65.37
101,65.22
107,65.07
113,64.94
120,64.83
127,64.72
135,64.61
143,64.5
151,64.39
160,64.28
170,64.18
180,64.07
190,63.96
202,63.85
214,63.74
226,63.63
240,63.52
254,63.41
269,63.3
285,63.19
302,63.09
320,63.02
339,63.09
359,63.16
381,63.23
403,63.3
427,63.37
453,63.45
479,63.52
508,63.59
538,63.66
570,63.73
604,63.8
640,63.88
678,63.95
718,64.07
761,64.33
806,64.59
854,64.84
905,65.1
959,65.36
1016,65.62
1076,65.88
1140,66.13
1208,66.39
1280,66.65
1356,66.91
1437,67.17
1522,67.42
1613,67.68
1709,67.94
1810,68.17
1918,68.4
2032,68.62
2153,68.85
2281,69.08
2416,69.3
2560,69.53
2712,69.75
2874,69.98
3044,70.2
3225,70.43
3417,70.65
3620,70.88
3836,71.11
4064,71.33
4305,71.38
4561,70.9
4833,70.42
5120,69.94
5424,69.46
5747,68.98
6089,68.5
6451,68.02
6834,67.54
7241,67.06
7671,66.58
8127,65.7
8611,64.74
9123,63.78
9665,62.82
10240,61.86
10849,60.9
11494,59.94
12177,58.98
12902,58.02
13669,57.07
14482,56.5
15343,56.5
16255,56.5
17222,56.5
18246,56.5
19331,56.5
